Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating,Pendapatan
Basreng 250GR SEBLAK PEDAS MANIS ORIGINAL JONTOR SUPER ENAK,14850,Grosir Besar Kalimantan,Banjarbaru,20.0,4.8,297000.0
Kerupuk seblak beton as kering cikruh 1 kg bumbu organik pedas gurih,49000,kerudung bunga,Cimahi,25.0,4.8,1225000.0
SEBLAK INSTAN TERMURAH,3500,Cemilan-Ce,Kab. Sidoarjo,100.0,4.9,350000.0
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",76000,kylafood,Bandung,750.0,4.9,57000000.0
Kerupuk Seblak Kencur Pedas 1 kg Termurah,8000,MuezzaSnack,Kab. Cirebon,22.0,4.8,176000.0
SEBLAK INSTAN MOMMY,13900,Rav Jaya Display,Kab. Tangerang,1000.0,4.8,13900000.0
Kylafood Paket Seblak Cup isi 4 pcs,50040,kylafood,Bandung,80.0,5.0,4003200.0
Kylafood Seblak Cup,13500,Kylafood Jakarta,Jakarta Selatan,250.0,4.9,3375000.0
Kerupuk Seblak Rafael / Seblak Pedas 250 Gram - Tam Snack,16000,TAM SNACK,Depok,60.0,5.0,960000.0
"Cemilan Snack Krupuk Seblak Pedas Bawang Kencur, Kerupuk Warna Warni Pedes & Renyah",8500,Toko Jajan Murah Online,Surabaya,,,
Cemilan Snack Kekinian | varian Kerupuk Seblak - Original,8000,SNACK TIMEE,Medan,,,
Seblak Rempah Autentik isi 5 pcs,63000,Kylafood Jakarta,Jakarta Selatan,100.0,4.9,6300000.0
KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,16695,Toko kue Sumber Mas,Jakarta Timur,250.0,4.9,4173750.0
kerupuk seblak pedas 1 kg / kerupuk seblak,35625,Adila_Putri_Snack,Kab.Ciamis,100.0,4.8,3562500.0
Omiyago Snack Kerupuk Seblak,6000,omiyago,Jakarta Barat,50.0,4.8,300000.0
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk - Putih,24500,Distributor-Jaya,Tangerang,100.0,5.0,2450000.0
Seblak Beton 1kg Pedas Daun Jeruk / Seblak Kerupuk JAAT 1kg,37500,D&R-9 collection,Bandung,60.0,4.8,2250000.0
Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,33000,Pedas Gilaa,Surabaya,500.0,4.9,16500000.0
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,1000.0,4.9,14999000.0
SEBLAK INSTAN SAJODO SNACK,18500,Sajodo Snack & Food,Tasikmalaya,100.0,4.8,1850000.0
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",42500,gaiagarut,Kab. Garut,250.0,4.8,10625000.0
kerupuk seblak ALN2 kemasan 100 gr,12000,grosir sembako Aln2,Kab. Bandung Barat,,,
PROMO KEMERDEKAAN SEBLAK + KRISANG 200 GR,79000,Central Seblak Nusantara,Tangerang Selatan,,,
Kylafood Paket Paket 2 Seblak Cup + 4 Seblak Autentik,71460,kylafood,Bandung,16.0,4.8,1143360.0
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,12500,Pasar Keripik Bandung,Bandung,100.0,4.9,1250000.0
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,16000,DUO BOCIL SNACK,Depok,250.0,4.9,4000000.0
"baso aci, bakso aci, cuanki, seblak instan, boci",8000,baso aci masabi,Jakarta Selatan,2000.0,4.8,16000000.0
seblak basreng pedas original exstra daun jeruk 500gram,25000,seblak bandung99,Kab. Bandung,2000.0,4.8,50000000.0
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,42500,kylafood,Bandung,100.0,4.8,4250000.0
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,25000,Lidigeli,Kab. Garut,100.0,4.9,2500000.0
"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",11000,global cookware1,Jakarta Barat,750.0,4.9,8250000.0
^; Seblak Rafael Asli Original | Seblak Coet Mamang Rafael,28000,siskaarinang2,Bandung,17.0,5.0,476000.0
baso aci / seblak instan,6000,Nyum_mama,Pekanbaru,70.0,4.6,420000.0
Kylafood Seblak Tulang Rawan Play,21675,kylafood,Bandung,750.0,4.9,16256250.0
GRATIS ONGKIR SEBLAK INSTAN/SEBLAK BANDUNG/SEBLAK GARUT/MURAH MANTAP,3999,MarkCi .id,Kab. Garut,100.0,4.4,399900.0
Kerupuk jengkol dan seblak beton (satu paket) rasa pedas kemasan 250 g,15500,Seblak Guludug Bandung,Kab. Bandung,16.0,5.0,248000.0
Kerupuk Bantet Extra Daun Jeruk Camilan Krupuk Seblak Bumbu Kering 125 Gram - Pedas Biasa,11000,Makaroni Juaraa,Kab. Bogor,,,
Kerupuk seblak pedas 500 Grm / kerupuk seblak pedas kencur,22500,adistri snack,Kab.Ciamis,1.0,,22500.0
